Type,SDP Name,Mux Category,Reference
att-field (media level only),depend,IDENTICAL-PER-PT,[RFC5583][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),ssrc,NORMAL,[RFC5576][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),ssrc-group,NORMAL,[RFC5576][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtcp-unicast,IDENTICAL,[RFC5760][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),pcfg,SPECIAL,[RFC5939][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),acfg,SPECIAL,[RFC5939][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),zrtp-hash,TRANSPORT,[RFC6189][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),X-predecbufsize,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),X-initpredecbufperiod,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),X-initpostdecbufperiod,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),X-decbyterate,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),3gpp-videopostdecbufsize,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),framesize,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),3GPP-SRTP-Config,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),alt,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),alt-default-id,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),3GPP-Adaptation-Support,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),mbms-flowid,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),fec-source-flow,SPECIAL,[RFC6364][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),fec-repair-flow,SPECIAL,[RFC6364][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),repair-window,SPECIAL,[RFC6364][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rams-updates,CAUTION,[RFC6285][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),imageattr,IDENTICAL-PER-PT,[RFC6236][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),cfw-id,NORMAL,[RFC6230][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),portmapping-req,CAUTION,[RFC6284][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),g.3gpp.crs,NORMAL,"[3GPP TS 24.183
        v9.5.0 annex E][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),ecn-capable-rtp,IDENTICAL,[RFC6679][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),visited-realm,TRANSPORT,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),secondary-realm,TRANSPORT,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),omr-s-cksum,NORMAL,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),omr-m-cksum,NORMAL,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),omr-codecs,NORMAL,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),omr-m-att,NORMAL,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),omr-s-att,NORMAL,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),omr-m-bw,NORMAL,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),omr-s-bw,NORMAL,"[TS 24.229 v10.7.0
        table 7.5.2][Frederic_Firmin][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),msrp-cema,TBD,[RFC6714][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),dccp-port,CAUTION,[RFC6773][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),resource,NORMAL,[RFC6787][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),channel,NORMAL,[RFC6787][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),cmid,NORMAL,[RFC6787][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),content,NORMAL,[RFC4796][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),lcfg,SPECIAL,[RFC6871][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),loopback,NORMAL,[RFC6849][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),loopback-source,NORMAL,[RFC6849][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),loopback-mirror,NORMAL,[RFC6849][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),chatroom,TBD,[RFC7701][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),altc,TRANSPORT,[RFC6947][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),T38FaxMaxIFP,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxUdpECDepth,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxUdpFECMaxSpan,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38ModemType,TBD,"[ITU-T Recommendation T.38 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][Simao_Campos-Neto][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),cs-correlation,TBD,[RFC7195][RFC-ietf-mmusic-sdp-mux-attributes-16]
