"ID",URI,Filename,Reference
mediadataset,urn:ietf:params:xml:schema:mediadataset,schema/mediadataset.xsd,[RFC6796]
mrb-consumer,urn:ietf:params:xml:schema:mrb-consumer,schema/mrb-consumer.xsd,[RFC6917]
mrb-publish,urn:ietf:params:xml:schema:mrb-publish,schema/mrb-publish.xsd,[RFC6917]
msc-mixer,urn:ietf:params:xml:schema:msc-mixer,schema/msc-mixer.xsd,[RFC6505]
msc-ivr,urn:ietf:params:xml:schema:msc-ivr,schema/msc-ivr.xsd,[RFC6231]
msml,urn:ietf:params:xml:schema:msml,schema/msml.xsd,[RFC5707]
netconf,urn:ietf:params:xml:schema:netconf,schema/netconf.xsd,[RFC6241]
nlsml,urn:ietf:params:xml:schema:nlsml,schema/nlsml.xsd,[RFC6787]
notification,urn:ietf:params:xml:schema:notification,schema/notification.xsd,[RFC5277]
nttdm-1.0,urn:ietf:params:xml:schema:nttdm-1.0,schema/nttdm-1.0.xsd,[RFC Errata 2729][RFC6173]
pal,urn:ietf:params:xml:schema:pal,schema/pal.xsd,[RFC8295]
patch-ops,urn:ietf:params:xml:schema:patch-ops,schema/patch-ops.xsd,[RFC5261]
patch-ops-error,urn:ietf:params:xml:schema:patch-ops-error,schema/patch-ops-error.xsd,[RFC5261]
pidf:caps,urn:ietf:params:xml:schema:pidf:caps,schema/pidf/caps.xsd,[RFC5196]
pidf:cipid,urn:ietf:params:xml:schema:pidf:cipid,schema/pidf/cipid.xsd,[RFC4482]
pidf:common-schema,urn:ietf:params:xml:schema:pidf:common-schema,schema/pidf/common-schema.xsd,[RFC4479]
pidf:data-model,urn:ietf:params:xml:schema:pidf:data-model,schema/pidf/data-model.xsd,[RFC4479]
pidf:geopriv10,urn:ietf:params:xml:schema:pidf:geopriv10,schema/pidf/geopriv10.xsd,[RFC4119]
pidf:geopriv10:basicPolicy,urn:ietf:params:xml:schema:pidf:geopriv10:basicPolicy,schema/pidf/geopriv10/basicPolicy.xsd,[RFC4119]
pidf:geopriv10:civicAddr,urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,schema/pidf/geopriv10/civicAddr.xsd,[RFC5139]
pidf:geopriv10:civicAddr:ext,urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr:ext,schema/pidf/geopriv10/civicAddr/ext.xsd,[RFC6848]
pidf:geopriv10:civicLoc,urn:ietf:params:xml:schema:pidf:geopriv10:civicLoc,schema/pidf/geopriv10/civicLoc.xsd,[RFC4119]
pidf:geopriv10:dataProvider,urn:ietf:params:xml:schema:pidf:geopriv10:dataProvider,schema/pidf/geopriv10/dataProvider.xsd,[RFC4119]
pidf:geopriv10:dynamic,urn:ietf:params:xml:schema:pidf:geopriv10:dynamic,schema/pidf/geopriv10/dynamic.xsd,[RFC5962]
pidf:geopriv10:lmsrc,urn:ietf:params:xml:schema:pidf:geopriv10:lmsrc,schema/pidf/geopriv10/lmsrc.xsd,[RFC7105]
pidf:geopriv10:relative,urn:ietf:params:xml:schema:pidf:geopriv10:relative,schema/pidf/geopriv10/relative.xsd,[RFC7035]
pidf:status:rpid,urn:ietf:params:xml:schema:pidf:status:rpid,schema/pidf/status/rpid.xsd,[RFC4480]
pidf:timed-status,urn:ietf:params:xml:schema:pidf:timed-status,schema/pidf/timed-status.xsd,[RFC4481]
pidf-diff,urn:ietf:params:xml:schema:pidf-diff,schema/pidf-diff.xsd,[RFC5262]
pres-rules,urn:ietf:params:xml:schema:pres-rules,schema/pres-rules.xsd,[RFC5025]
recording:1,urn:ietf:params:xml:schema:recording:1,schema/recording/1.xsd,[RFC7865]
resource-lists,urn:ietf:params:xml:schema:resource-lists,schema/resource-lists.xsd,[RFC4826]
resource-lists-diff,urn:ietf:params:xml:schema:resource-lists-diff,schema/resource-lists-diff.xsd,[RFC5362]
rgp-1.0,urn:ietf:params:xml:schema:rgp-1.0,schema/rgp-1.0.xsd,[RFC3915]
rls-services,urn:ietf:params:xml:schema:rls-services,schema/rls-services.xsd,[RFC4826]
rolie-1.0,urn:ietf:params:xml:schema:rolie-1.0,schema/rolie-1.0.rnc,[RFC-ietf-mile-rolie-16]
sa-dialog-info,urn:ietf:params:xml:schema:sa-dialog-info,schema/sa-dialog-info.xsd,[RFC7463]
secDNS-1.0,urn:ietf:params:xml:schema:secDNS-1.0,schema/secDNS-1.0.xsd,[RFC4310]
secDNS-1.1,urn:ietf:params:xml:schema:secDNS-1.1,schema/secDNS-1.1.xsd,[RFC5910]
signedMark-1.0,urn:ietf:params:xml:schema:signedMark-1.0,schema/signedMark-1.0.xsd,[RFC7848]
simple-filter,urn:ietf:params:xml:schema:simple-filter,schema/simple-filter.xsd,[RFC4661]
smi:base:1.0,urn:ietf:params:xml:schema:smi:base:1.0,schema/smi/base/1.0.xsd,[RFC5935]
spirits-1.0,urn:ietf:params:xml:schema:spirits-1.0,schema/spirits-1.0.xsd,[RFC3910]
