"ID",URI,Filename,Reference
iodef-enum-1.0,urn:ietf:params:xml:ns:iodef-enum-1.0,ns/iodef-enum-1.0.txt,[RFC7495]
iodef-phish-1.0,urn:ietf:params:xml:ns:iodef-phish-1.0,ns/iodef-phish-1.0.txt,[RFC5901]
iodef-rid-1.0,urn:ietf:params:xml:ns:iodef-rid-1.0,ns/iodef-rid-1.0.txt,[RFC6045]
iodef-rid-2.0,urn:ietf:params:xml:ns:iodef-rid-2.0,ns/iodef-rid-2.0.txt,[RFC6545]
iodef-sci-1.0,urn:ietf:params:xml:ns:iodef-sci-1.0,ns/iodef-sci-1.0.txt,[RFC7203]
ipfix-info,urn:ietf:params:xml:ns:ipfix-info,ns/ipfix-info.txt,[RFC7012]
iris1,urn:ietf:params:xml:ns:iris1,ns/iris1.txt,[RFC3981]
iris-transport,urn:ietf:params:xml:ns:iris-transport,ns/iris-transport.txt,[RFC4991]
keyprov:dskpp,urn:ietf:params:xml:ns:keyprov:dskpp,ns/keyprov/dskpp.txt,[RFC6063]
keyprov:dskpp:pkcs12-key-container,urn:ietf:params:xml:ns:keyprov:dskpp:pkcs12-key-container,ns/keyprov/dskpp/pkcs12-key-container.txt,[RFC6063]
keyprov:dskpp:pkcs5-xml-key-container,urn:ietf:params:xml:ns:keyprov:dskpp:pkcs5-xml-key-container,ns/keyprov/dskpp/pkcs5-xml-key-container.txt,[RFC6063]
keyprov:dskpp:prf-aes-128,urn:ietf:params:xml:ns:keyprov:dskpp:prf-aes-128,ns/keyprov/dskpp/prf-aes-128.txt,[RFC6063]
keyprov:dskpp:prf-sha256,urn:ietf:params:xml:ns:keyprov:dskpp:prf-sha256,ns/keyprov/dskpp/prf-sha256.txt,[RFC6063]
keyprov:dskpp:pskc-key-container,urn:ietf:params:xml:ns:keyprov:dskpp:pskc-key-container,ns/keyprov/dskpp/pskc-key-container.txt,[RFC6063]
keyprov:dskpp:skpc-key-container,urn:ietf:params:xml:ns:keyprov:dskpp:skpc-key-container,ns/keyprov/dskpp/skpc-key-container.txt,[RFC6063]
keyprov:pskc,urn:ietf:params:xml:ns:keyprov:pskc,ns/keyprov/pskc.txt,[RFC6030]
keyprov:pskc:hotp,urn:ietf:params:xml:ns:keyprov:pskc:hotp,ns/keyprov/pskc/hotp.txt,[RFC6030]
keyprov:pskc:pin,urn:ietf:params:xml:ns:keyprov:pskc:pin,ns/keyprov/pskc/pin.txt,[RFC6030]
keyrelay-1.0,urn:ietf:params:xml:ns:keyrelay-1.0,ns/keyrelay-1.0.txt,[RFC8063]
kpml-request,urn:ietf:params:xml:ns:kpml-request,ns/kpml-request.txt,[RFC4730]
kpml-response,urn:ietf:params:xml:ns:kpml-response,ns/kpml-response.txt,[RFC4730]
launch-1.0,urn:ietf:params:xml:ns:launch-1.0,ns/launch-1.0.txt,[RFC8334]
lgr-1.0,urn:ietf:params:xml:ns:lgr-1.0,ns/lgr-1.0.txt,[RFC7940]
load-control,urn:ietf:params:xml:ns:load-control,ns/load-control.txt,[RFC7200]
location-filter,urn:ietf:params:xml:ns:location-filter,ns/location-filter.txt,[RFC6447]
location-type,urn:ietf:params:xml:ns:location-type,ns/location-type.txt,[RFC4589]
lost-ext,urn:ietf:params:xml:ns:lost-ext,ns/lost-ext.txt,[RFC6451]
lost-rli1,urn:ietf:params:xml:ns:lost-rli1,ns/lost-rli1.txt,[RFC-ietf-ecrit-similar-location-19]
lost1,urn:ietf:params:xml:ns:lost1,ns/lost1.txt,[RFC5222]
lost1:slb,urn:ietf:params:xml:ns:lost1:slb,ns/lost1/slb.txt,[RFC6197]
lostsync1,urn:ietf:params:xml:ns:lostsync1,ns/lostsync1.txt,[RFC6739]
mark-1.0,urn:ietf:params:xml:ns:mark-1.0,ns/mark-1.0.txt,[RFC7848]
mediadataset,urn:ietf:params:xml:ns:mediadataset,ns/mediadataset.txt,[RFC6796]
metalink,urn:ietf:params:xml:ns:metalink,ns/metalink.txt,[RFC5854]
mrb-consumer,urn:ietf:params:xml:ns:mrb-consumer,ns/mrb-consumer.txt,[RFC6917]
mrb-publish,urn:ietf:params:xml:ns:mrb-publish,ns/mrb-publish.txt,[RFC6917]
mrcpv2,urn:ietf:params:xml:ns:mrcpv2,ns/mrcpv2.txt,[RFC6787]
msc-ivr,urn:ietf:params:xml:ns:msc-ivr,ns/msc-ivr.txt,[RFC6231]
msc-mixer,urn:ietf:params:xml:ns:msc-mixer,ns/msc-mixer.txt,[RFC6505]
msml,urn:ietf:params:xml:ns:msml,ns/msml.txt,[RFC5707]
netconf,urn:ietf:params:xml:ns:netconf,ns/netconf.txt,[RFC4741]
