Tag,Description,Reference,Notes
iu-Latn,Inuktitut in Latin script,[Peter_Constable],
mn-Cyrl,Mongolian in Cyrillic script,[Peter_Constable],
mn-Mong,Mongolian in Mongolian script,[Peter_Constable],
no-bok,"Norwegian ""Book language""",[http://lcweb.loc.gov/standards/iso639-2/codechanges.html],"Deprecated use ISO
 639 nb, registered
 Feb. 18, 2000"
no-nyn,"Norwegian ""New Norwegian""",[http://lcweb.loc.gov/standards/iso639-2/codechanges.html],"Deprecated use ISO
 639 nn, registered
 Feb. 18, 2000"
sgn-BE-fr,Belgian-French Sign Language,[Michael_Everson],
sgn-BE-nl,Belgian-Flemish Sign Language,[Michael_Everson],
sgn-BR,Brazilian Sign Language,[Michael_Everson],
sgn-CH-de,Swiss German Sign Language,[Michael_Everson],
sgn-CO,Colombian Sign Language,[Michael_Everson],
sgn-DE,German Sign Language,[Michael_Everson],
sgn-DK,Danish Sign Language,[Michael_Everson],
sgn-ES,Spanish Sign Language,[Michael_Everson],
sgn-FR,French Sign Language,[Michael_Everson],
sgn-GB,British Sign Language,[Michael_Everson],
sgn-GR,Greek Sign Language,[Michael_Everson],
sgn-IE,Irish Sign Language,[Michael_Everson],
sgn-IT,Italian Sign Language,[Michael_Everson],
sgn-JP,Japanese Sign Language,[Michael_Everson],
sgn-MX,Mexican Sign Language,[Michael_Everson],
sgn-NI,Nicaraguan Sign Language,[Michael_Everson],
sgn-NL,Dutch Sign Language,[Michael_Everson],
sgn-NO,Norwegian Sign Language,[Michael_Everson],
sgn-PT,Portuguese Sign Language,[Michael_Everson],
sgn-SE,Swedish Sign Language,[Michael_Everson],
sgn-US,American Sign Language,[Michael_Everson],
sgn-ZA,South African Sign Language,[Michael_Everson],
sl-nedis,"Natisone dialect, Nadiza dialect",[Han_Steenwijk],
sl-rozaj,"Resian, Resianic, Rezijan",[Han_Steenwijk],
sr-Cyrl,Serbian in Cyrillic script,[Mark_Davis][Mark_Davis_2],
sr-Latn,Serbian in Latin script,[Mark_Davis][Mark_Davis_2],
tg-Arab,Tajik in Arabic script,[Peter_Constable],
tg-Cyrl,Tajik in Cyrillic script,[Peter_Constable],
uz-Cyrl,Uzbek in Cyrillic script,[Mark_Davis][Mark_Davis_2],
uz-Latn,Uzbek in Latin script,[Mark_Davis][Mark_Davis_2],
yi-latn,"Yiddish, in Latin script",[Sean_Burke],
zh-cmn,Mandarin Chinese,[Karen_Broome],
zh-cmn-Hans,Mandarin Chinese (Simplified),[Karen_Broome],
zh-cmn-Hant,Mandarin Chinese (Traditional),[Karen_Broome],
zh-Hans,"Chinese, in simplified script",[Mark_Davis][Mark_Davis_2],
zh-Hans-CN,PRC Mainland Chinese in simplified script,[Mark_Davis][Mark_Davis_2],
zh-Hans-HK,Hong Kong Chinese in simplified script,[Mark_Davis][Mark_Davis_2],
zh-Hans-MO,Macao Chinese in simplified script,[Mark_Davis][Mark_Davis_2],
zh-Hans-SG,Singapore Chinese in simplified script,[Mark_Davis][Mark_Davis_2],
zh-Hans-TW,Taiwan Chinese in simplified script,[Mark_Davis][Mark_Davis_2],
zh-Hant,"Chinese, in traditional script",[Mark_Davis][Mark_Davis_2],
zh-Hant-CN,PRC Mainland Chinese in traditional script,[Mark_Davis][Mark_Davis_2],
zh-Hant-HK,Hong Kong Chinese in traditional script,[Mark_Davis][Mark_Davis_2],
zh-Hant-MO,Macao Chinese in traditional script,[Mark_Davis][Mark_Davis_2],
zh-Hant-SG,Singapore Chinese in traditional script,[Mark_Davis][Mark_Davis_2],
zh-Hant-TW,Taiwan Chinese in traditional script,[Mark_Davis][Mark_Davis_2],
zh-gan,Kan or Gan,[Clay_Compton],
zh-guoyu,Mandarin or Standard Chinese,[Clay_Compton][John_Cowan][John_Cowan_2],"Deprecated, use zh-cmn
       registered in July 2005"
zh-hakka,Hakka,[Clay_Compton][John_Cowan][John_Cowan_2],
zh-min,"Min, Fuzhou, Hokkien, Amoy              
or Taiwanese",[Clay_Compton],
zh-min-nan,"Minnan, Hokkien, Amoy,                  
Taiwanese, Southern Min,
Southern Fujian, Hoklo,
Southern Fukien, Ho-lo",[Kai_hus_Tai],
zh-wuu,Shanghaiese or Wu,[Clay_Compton],
zh-xiang,Xiang or Hunanese,[Clay_Compton],
zh-yue,Cantonese,[Clay_Compton],
